artist.id,artist.name,song.id,song.title,song.dancebility,song.expertrate,song.loudness,song.year,album.id,album.title,album.company,user.id,user.password,user.age,user.gender,user.email,user.lastname,user.firstname,user.admin,5pb.
ARD7TVE1187B99BFB1,Casual,SOMZWCG12A8C13C480,I Didn't Mean To,0.834,0.581793766,0.736,1986,300848,Fear Itself,GoConnect,2066925,BI48A20B18,21,0,ubkxr@Oradinosaur.com,Armstrong,Austin,1,Aardvark Records
ARMJAGH1187FB546F3,The Box Tops,SOCIWDW12A8C13D406,Soul Deep,1,0.630630038,0.169,2014,300822,Dimensions,SoBe Entertainment,7603152,PA98R99V46,31,1,reywi@Oradinosaur.com,Wells,Steven,1,Almighty Records
ARKRRTF1187B9984DA,Sonora Santanera,SOXVLOJ12AB0189215,Amor De Cabaret,0.98,0.487356791,0.643,1963,514953,Las Numero 1 De La Sonora Santanera,The Visual Dimensions Music,8468229,ZG85L38R14,58,1,ykxur@Oradinosaur.com,Fowler,Anthony,1,AMCR
AR7G5I41187FB4CE6C,Adam Ant,SONHOTT12A8C13493C,Something Girls,0.809,0.630382334,0.751,1980,287650,Friend Or Foe,Movic,8669284,IU70F13H39,27,1,cxbup@Oradinosaur.com,McKinney,Eric,1,Anjunabeats
ARXR32B1187FB57099,Gob,SOFSOCN12A8C143F5D,Face the Ashes,0.883,0.651045661,0.092,1984,611336,Muertos Vivos,BTM Music Group Inc.,8339331,RZ22M68A58,31,1,kdfgg@Oradinosaur.com,Phillips,Julian,1,Applied Media Technologies Corporation
ARKFYS91187B98E58F,Jeff And Sheri Easter,SOYMRWW12A6D4FAB14,The Moon And I (Ordinary Day Album Version),0.438,0.535292736,0.635,1982,41838,Ordinary Day,EMI Music Japan,4857879,OI72J60U49,54,0,myqft@Oradinosaur.com,Drake,Jorge,0,Aquaplus
ARD0S291187B9B7BF5,Rated R,SOMJBYD12A6D4F8557,Keepin It Real (Skit),0.709,0.556495602,0,2005,25824,Da Ghetto Psychic,Magnatune,8870225,SV58X50S61,87,1,lhksm@Oradinosaur.com,Graves,Mary,0,ARC Music
AR10USD1187B99F3F1,Tweeterfriendly Music,SOHKNRJ12A6701D1F8,Drop of Rain,0.234,0.801136447,0,2007,8876,Gin & Phonic,Halaqah Media,9946255,PJ87S42M87,48,1,huhpr@Oradinosaur.com,Allen,Johanna,0,Backstreet Records
AR8ZCNI1187B9A069B,Planet P Project,SOIAZJW12AB01853F1,Pink World,0.44,0.426667857,0.717,1972,358182,Pink World,J Storm,7017037,RJ41W74V30,45,1,akygl@Oradinosaur.com,Hawkins,Minerva,0,Bad Boy Records
ARNTLGG11E2835DDB9,Clp,SOUDSGM12AC9618304,Insatiable (Instrumental Version),1,0.550513698,0.053,1986,692313,Superinstrumental,GMA Artist Center,8506511,OS73U48Q47,41,0,tovte@Oradinosaur.com,Arnold,Frances,0,Bang
ARGSJW91187B9B1D6B,JennyAnyKind,SOQHXMF12AB0182363,Young Boy Blues,0.873,0.360031167,0.354,1997,539081,I Need You,Great Big Island,6002071,VR30N40L68,43,1,crmby@Oradinosaur.com,Morrison,Angel,0,Behringer
ARC43071187B990240,Wayne Watson,SOKEJEJ12A8C13E0D0,The Urgency (LP Version),1,0.545159296,0.07,1966,163874,The Way Home,Newbury Comics,421653,JV75J27E47,84,1,nrkuw@Oradinosaur.com,Evans,Connor,0,Boosey&Hawkes
ARL7K851187B99ACD2,Andy Andy,SOMUYGI12AB0188633,La Culpa,0.699,0.577508974,0.205,1992,575792,Placer & Castigo,Nuwax Records,1321587,GZ90I84N22,13,0,lrxcr@Oradinosaur.com,Murray,Alvin,0,Broccoli
ARHHO3O1187B989413,Bob Azzam,SORAMLE12AB017C8B0,Auguri Cha Cha,1,0.085512047,0,1976,815863,Arrivederci,PIAS UK Distribution,6353746,QE23Q83I60,17,0,jeowv@Oradinosaur.com,Jordan,Herbert,0,BTM Music Group Inc.
ARIK43K1187B9AE54C,Lionel Richie,SOBONFF12A6D4F84D8,Tonight Will Be Alright,1,0.776675856,0.524,1960,25811,Dancing On The Ceiling,Pony Canyon,9323383,OM89Y95C51,27,0,tkwev@Oradinosaur.com,Jennings,Bruce,0,CAPP Records
ARD842G1187B997376,Blue Rodeo,SOHUOAP12A8AE488E9,Floating,0,0.636423645,1,2013,135122,Outskirts,T-Series,8815075,JU75X97X25,13,1,xzaqe@Oradinosaur.com,Hoffman,Calvin,0,CJ E&M Music Performance Divison
ARIG6O41187B988BDD,Richard Souther,SOUQQEA12A8C134B1B,High Tide,0.768,0.419943148,0.041,1951,149958,Cross Currents,Johnny&Associates,7518687,ZF45L22F73,74,1,amxpw@Oradinosaur.com,Brown,Johanna,0,Concord Music Group
AR1ZHYZ1187FB3C717,Faiz Ali Faiz,SOILPQQ12AB017E82A,Sohna Nee Sohna Data,0,0.363280571,0.06,1955,535188,Panjtan Ka Ghulam,Ultra Music,3384501,FA88G80E62,39,0,kybrd@Oradinosaur.com,Hopkins,Florence,0,Corporation
ARYKCQI1187FB3B18F,Tesla,SOXLBJT12A8C140925,Caught In A Dream,1,0.707199764,0.725,2016,372309,Gold,Entertainment One,9926236,PQ40B63V16,81,0,kxjeb@Oradinosaur.com,Ball,Evan,0,Cris Morena Group
ARNPAGP1241B9C7FD4,lextrical,SOZVMJI12AB01808AF,Synthetic Dream,0.821,0.32031437,0.011,1971,541101,Whatever Happened To Boredom?,Applied Media Technologies Corporation,2006786,EN11E87R86,63,0,enfdm@Oradinosaur.com,Hanson,Josephine,0,Def Jam Recordings
ARQGYP71187FB44566,Jimmy Wakely,SOWTBJW12AC468AC6E,Broken-Down Merry-Go-Round,0,0.39413854,0.799,1959,605134,1942-1952 Jimmy Wakely,Nuwax Records,8925761,TF53Z51Q79,70,1,ckqyu@Oradinosaur.com,Powers,Scott,0,Definitive Jux
ARI3BMM1187FB4255E,Alice Stuart,SOBEBDG12A58A76D60,Kassie Jones,0.899,0.489816269,0.809,2011,239740,All The Good Times,SoBe Entertainment,6553780,BN27Q64H42,46,1,vbqty@Oradinosaur.com,Ray,Mason,0,Diagnosis… DON'T! reCoRdings
AR5KOSW1187FB35FF4,Elena,SOZCTXZ12AB0182364,Setanta matins,0,0.677420465,0.596,1971,386995,Un cafe_ setanta matins,Istanbul Plak,9630178,VR33F46H79,71,1,qemvm@Oradinosaur.com,Houston,Lydia,0,Disc Makers
ARMAC4T1187FB3FA4C,The Dillinger Escape Plan,SOBBUGU12A8C13E95D,Setting Fire to Sleeping Giants,0.931,0.839962768,0.381,1985,223365,Miss Machine,Random Disc Records,6580337,NO68H51N17,22,0,xyxrc@Oradinosaur.com,Powers,Nina,0,Diskoton
AR47JEX1187B995D81,SUE THOMPSON,SOBLGCN12AB0183212,James (Hold The Ladder Steady),0.587,0.435415818,0.697,1960,652784,Sue Thompson - Her Very Best,Bang,9429455,FA63C71J76,45,0,qulge@Oradinosaur.com,Wilkins,Dora,0,DMX
ARGIWFO1187B9B55B7,Five Bolt Main,SOPSWQW12A6D4F8781,Made Like This (Live),0.857,0.6090637,0.53,1977,45730,Live,Menart Records,7245844,BY29Y67A68,48,1,mjwmp@Oradinosaur.com,Reynolds,Jordan,0,DSP Media
ARNTLGG11E2835DDB9,Clp,SOZQDIU12A58A7BCF6,Superconfidential,1,0.550513698,0.687,1966,672016,Strictly Confidential,The Visual Dimensions Music,3107211,RZ50M93P26,18,0,migws@Oradinosaur.com,Hoffman,Leon,0,Entertainment One
ARDNS031187B9924F0,Tim Wilson,SONYPOM12A8C13B2D7,I Think My Wife Is Running Around On Me (Taco Hell),0,0.459797129,0.762,1969,160881,The Real Twang Thang,Suzy,5400337,DK28H81Q37,27,1,joucj@Oradinosaur.com,Herrera,Francis,0,ECA Records
AROUOZZ1187B9ABE51,Willie Bobo,SOBZBAZ12A6D4F8742,Spanish Grease,1,0.588827101,0.812,1980,59744,Willie Bobo's Finest Hour,Halaqah Media,2614679,JO46Y24F82,23,1,oglal@Oradinosaur.com,Frank,Jesse,0,Econore
ARH4Z031187B9A71F2,Faye Adams,SOVYKGO12AB0187199,Crazy Mixed Up World,0.987,0.396455254,0.569,1989,373723,Shake A Hand,Aardvark Records,6219989,NP67K89Z42,17,1,sbxce@Oradinosaur.com,Alvarado,Elijah,0,Ektaar Music Ltd
ARB29H41187B98F0EF,Terry Callier,SOGNCJP12A58A80271,Do You Finally Need A Friend,0.708,0.706827671,0.381,1993,228326,Occasional Rain,Broccoli,4194195,RO96G37F87,82,0,ilmzp@Oradinosaur.com,Cole,Walter,0,Electronic Arts Recordings
AR1Y2PT1187FB5B9CE,John Wesley,SOLLHMX12AB01846DC,The Emperor Falls,0,0.560557984,0.283,1997,463514,The Emperor Falls,Istanbul Plak,4654109,WE81E92Z38,17,1,cqnpp@Oradinosaur.com,Lynch,Jose,0,EMI
ARAJPHH1187FB5566A,The Shangri-Las,SOYTPEP12AB0180E7B,Twist and Shout,0.812,0.640807102,0.254,2017,643400,Best of The Shangri-Las,Bang,9120542,FF67P68H26,45,1,trkyx@Oradinosaur.com,Russell,Jack,0,EMI Music Japan
AR0RCMP1187FB3F427,Billie Jo Spears,SOGXHEG12AB018653E,It Makes No Difference Now,0,0.523714637,0.384,2013,663761,20 Of Her Best,Diagnosis… DON'T! reCoRdings,8924608,WC31E77S98,87,1,pxtkr@Oradinosaur.com,Holt,Jean,0,Extraphone
AREBBGV1187FB523D2,Mike Jones (Featuring CJ_ Mello & Lil' Bran),SOOLYAZ12A6701F4A6,Laws Patrolling (Album Version),0.616,0.79360508,0.299,2009,12882,Who Is Mike Jones?,EMI Music Japan,9195803,PJ95G69L24,37,0,keana@Oradinosaur.com,Rivera,Eunice,0,GMA Artist Center
ARGUVEV1187B98BA17,Sierra Maestra,SOGOSOV12AF72A285E,A?DA3nde va Chichi?,0.219,0.501544777,0.724,1962,270281,Tibiri Tabara,Aquaplus,4199211,WI44I11T17,42,1,bvlyu@Oradinosaur.com,Dunn,Jean,0,Go! Discs
ARPQ4Z01187FB3A736,Butthole Surfers,SOJXVAH12A8C139700,"Barking Dogs (From ""Piouhgd"")",0.604,0.809323793,0.726,2000,244586,Piouhgd + Widowermaker!,DSP Media,6673263,LH58Q92G13,28,1,fxbts@Oradinosaur.com,Powers,Luella,0,GoConnect
ARNQAVF11F4C844C04,Despina Vandi,SOVXMTN12A8C135A18,OUTE ENA EFHARISTO,0.895,0.632559542,0.532,1986,157648,Profities,Boosey&Hawkes,6428660,EK26Z34U44,64,0,dsmmn@Oradinosaur.com,Nash,Justin,0,Gold Typhoon
ARXUT4W1187FB48BEB,Javier Navarrete,SORSECL12AB0182267,Midnight Swim,0.773,0.597541218,0,1966,644631,Cracks,Corporation,2409601,JU58V86L56,76,0,gwrog@Oradinosaur.com,Harrison,Alejandro,0,Great Big Island
ARDD1RC1187B9B52B4,Jacob Young,SOOGFBZ12AC3DF7FF2,In A Subtle Way,0.908,0.495445922,0.611,2008,730551,Pieces Of Time,Istanbul Plak,6790335,GA99I48H94,18,1,fczbu@Oradinosaur.com,Bridges,David,0,GRGDN
ARLGWFM1187FB4AC9F,Scarlet's Remains,SOMSBGZ12AB018C4CB,Spin,0.268,0.527865076,0.673,1950,709879,The Palest Grey,Backstreet Records,3800342,ID58H53T55,44,0,dohjv@Oradinosaur.com,Gibson,Bryan,0,Halaqah Media
ARWYVP51187B98C516,The Suicide Machines,SONYRZV12AB018AF70,Burning In The Aftermath,0.471,0.668674533,0.421,1952,706005,A Match & Some Gasoline,Sony Music Entertainmet (Japan) Inc.,7360299,OX30L59E31,36,1,ocqzv@Oradinosaur.com,Bryant,Corey,0,Harthouse
ARFCUN31187B9AD578,The Rolling Stones,SONQBUB12A6D4F8ED0,Angie (1993 Digital Remaster),0.797,0.814829656,0.301,2002,42595,Jump Back - The Best Of The Rolling Stones_ '71-'93,Shure,6179695,LK73A58E58,59,0,dkcxt@Oradinosaur.com,Simpson,Sue,0,Hed Kandi
AR6YDKV1187B989230,Roberto Torres,SOHGKJW12AC468A8BD,Sabor Guajiro,0.917,0.482356043,0.863,2000,782470,Lo Mejor con La Orq. Broadway,Nuwax Records,431705,IH99N11U97,66,0,dpimn@Oradinosaur.com,Hudson,Ronnie,0,HITT Production
ARV1JVD1187B9AD195,Loudon Wainwright III,SOINBCU12A6D4F94C0,Human Cannonball,0.799,0.661080168,0.544,2001,28723,Grown Man,Sony BMG,1359095,XY72P11P76,71,0,njphv@Oradinosaur.com,Garcia,Eliza,0,Instant Live
AR7TTS41187B9B42D3,R.L. Burnside,SOTWVQT12A58A79650,Glory Be,0.885,0.701180874,0,1960,557761,A Bothered Mind,Ministry of Sound,6643957,FI86O91Z57,81,0,qkbfx@Oradinosaur.com,Ramsey,Herman,0,Istanbul Plak
ART3O5Z1187B9AB043,Stevie Ray Vaughan,SOTSEJY12AB0180F56,Crossfire,1,0.73379894,0.754,1987,417945,Greatest Hits,CJ E&M Music Performance Divison,4078128,BX81J91F88,20,0,yiakl@Oradinosaur.com,Fuller,Ola,0,J Storm
AR5U94U1187FB5CDCF,John Hammond,SOTSETT12AB01863B8,I Can't Be Satisfied,0.651,0.590692918,0.98,1962,575531,Bluesman,Diagnosis… DON'T! reCoRdings,3380899,TU33F69B95,67,0,fjmoz@Oradinosaur.com,Vargas,Annie,0,JamGlue
ARRJNTE1187FB44E12,Casiotone For The Painfully Alone,SOTUNMH12A6D4FA3E6,Nashville Parthenon,0.706,0.665322162,0.522,1972,234425,Etiquette,EMI Music Japan,660075,ZV65Q86N96,58,1,cibnn@Oradinosaur.com,Cunningham,Peter,0,Johnny&Associates
